Event number,time_start_sheath,time_end_sheath,time_start_plasmasheet,time_start_plasmasheet,smooth_turbulent,BL,dawndusk,Inbound,crossing_magnetopause,crossing_ps,comments,xgse,ygse,zgse,ygsm,zgsm,dist,mlt,l,bx_sheath_mean,bx_sheath_std,bx_ps_mean,bx_ps_std,by_gsm_sheath_mean,by_gsm_sheath_std,by_gsm_ps_mean,by_gsm_ps_std,bz_gsm_sheath_mean,bz_gsm_sheath_std,bz_gsm_ps_mean,bz_gsm_ps_std,h1_density_sheath_mean,h1_density_sheath_std,h1_density_ps_mean,h1_density_ps_std,he2_density_sheath_mean,he2_density_sheath_std,he2_density_ps_mean,he2_density_ps_std,mms_alpha_ratio_sheath_mean,mms_alpha_ratio_sheath_std,mms_alpha_ratio_ps_mean,mms_alpha_ratio_ps_std,imf_bx_1h_mean,imf_bx_1h_std,imf_bx_2h_mean,imf_bx_2h_std,imf_bx_3h_mean,imf_bx_3h_std,imf_by_gse_1h_mean,imf_by_gse_1h_std,imf_by_gse_2h_mean,imf_by_gse_2h_std,imf_by_gse_3h_mean,imf_by_gse_3h_std,imf_bz_gse_1h_mean,imf_bz_gse_1h_std,imf_bz_gse_2h_mean,imf_bz_gse_2h_std,imf_bz_gse_3h_mean,imf_bz_gse_3h_std,imf_by_gsm_1h_mean,imf_by_gsm_1h_std,imf_by_gsm_2h_mean,imf_by_gsm_2h_std,imf_by_gsm_3h_mean,imf_by_gsm_3h_std,imf_bz_gsm_1h_mean,imf_bz_gsm_1h_std,imf_bz_gsm_2h_mean,imf_bz_gsm_2h_std,imf_bz_gsm_3h_mean,imf_bz_gsm_3h_std,sw_p_1h_mean,sw_p_1h_std,sw_p_2h_mean,sw_p_2h_std,sw_p_3h_mean,sw_p_3h_std,sw_v_1h_mean,sw_v_1h_std,sw_v_2h_mean,sw_v_2h_std,sw_v_3h_mean,sw_v_3h_std,dst_1h_mean,dst_1h_std,dst_2h_mean,dst_2h_std,dst_3h_mean,dst_3h_std
1,2016-02-13/05:13:20,2016-02-13/05:33:20,2016-02-13/05:53:20,2016-02-13/06:13:20,,0,Dawnside,1,2016-02-13/05:43:20,2016-02-13/05:43:20,,6.191670068,-6.030797281,-0.6934966857,-5.539291406,-2.483486076,8.67111531,8.6987067,12.27883088,24.718647,6.456585407,17.14521408,3.571445704,51.57612991,7.559765816,-52.98466492,1.979853749,6.930908203,15.09360504,55.32225418,2.946274281,55.57187813,3.196246728,1.941586636,0.8525280849,4.048294355,0.8323748021,0.04526005897,0.02253933102,0.07262567085,0.01323054861,0.02325241338,0.004784685132,-3.238166809,0.8664901257,-1.261864305,1.255873799,-0.845500052,1.670927286,10.47316933,1.15570724,10.42660999,0.5916564465,7.502333641,2.642633438,-4.160666466,4.900904655,-1.981016994,1.794204712,8.471833229,6.028003693,11.21516705,1.07346499,10.41813564,0.4251997173,3.330499887,4.781830311,-0.5505000353,5.012167454,2.002372742,1.86892879,10.74783325,4.684103966,6.999817371,2.357508659,9.679798126,0.496674329,6.99159956,2.2693398,361.9509888,6.211633682,369.1366882,4.000762463,365.9899902,2.921227455,21.54999924,2.83695364,27.73333359,1.471384883,21.83333397,5.752424717
2,2016-02-13/22:32:00,2016-02-13/22:52:00,2016-02-13/20:57:30,2016-02-13/21:17:30,smooth,1,Dawnside,0,2016-02-13/22:22:00,2016-02-13/21:27:30,,4.311671381,-11.12279295,-1.189010411,-9.138941191,-6.450583123,11.98836014,7.196658716,18.64818789,23.65077591,5.173881054,-10.74368,2.600008726,12.77786827,7.144419193,-36.00375366,1.907547951,18.58694267,9.610479355,13.44507122,3.068575144,11.35838428,1.446580716,2.2377388,0.4853800924,0.7557672346,0.2107322608,0.0768313041,0.02565532941,0.06566777954,0.01148580862,0.03379009979,0.006284156846,-1.248360634,1.124412537,-1.040769339,0.7980192304,-1.327600002,0.5149145126,5.094919682,0.4334036708,5.088653564,0.3303831816,4.728199482,0.6615185738,0.02967213094,1.192919374,1.377884626,0.9065715075,1.616999984,1.041294932,4.452130795,0.747739017,3.868076086,0.6653262377,3.551000595,0.9684391022,2.480656147,1.014009953,3.576923132,0.7237824202,3.529998779,0.6927290559,1.92163229,0.1113056391,1.902045727,0.1561987102,1.970999956,0.2322663963,412.1163025,10.24512672,416.2863159,5.446976662,419.565033,5.595809937,-7.065573692,0.853792429,-7.327868938,1.011950254,-6.852458954,0.5110794306
3,2016-02-03/05:03:30,2016-02-03/05:23:30,2016-02-03/06:17:30,2016-02-03/06:37:30,,0,Dawnside,1,2016-02-03/05:33:30,2016-02-03/06:07:30,,7.416305017,-6.439540154,-0.8724477831,-5.978278339,-2.547357578,9.8605488,8.850514426,14.44497528,-11.31240654,5.102713108,15.32053375,2.561516047,-3.865808964,10.60231876,-54.82543182,5.408768654,-19.8834095,7.116398811,51.24049377,3.167585611,36.83963878,1.857663065,2.025718435,1.008459283,1.881574143,0.2941280971,0.06970661467,0.06053476009,0.05096335994,0.006944535293,0.03284606464,0.005347597816,-4.739654541,0.7037492394,-4.237692356,0.7067697644,-4.775332451,0.5172104836,2.186034441,3.157943487,-2.890512705,0.5726712942,-2.235499859,0.7227827907,-4.595172405,3.206706762,-7.027948856,0.8080521226,-6.901164532,0.4897044897,3.457241535,2.23907876,-0.3761538863,0.6157862544,0.5160000324,0.6408818364,-3.791378498,3.847560644,-7.594101906,0.7340289354,-7.236999035,0.5746577382,3.461428642,0.6397134662,2.798094988,0.2941363752,2.938636541,0.3209983408,359.0469055,5.082695484,364.4619446,5.440265656,358.3750305,2.616685152,-43,3.014091253,-46.01666641,1.51256454,-54.56666565,3.238364458
4,2016-02-03/21:10:30,2016-02-03/21:30:30,2016-02-03/20:01:00,2016-02-03/20:21:00,smooth,0,Dawnside,0,2016-02-03/21:00:30,2016-02-03/20:31:00,,4.66345568,-10.61609607,-1.156149514,-9.104446707,-5.580970134,11.65272485,7.391472502,16.64622419,13.72696686,4.323150158,-6.173929214,2.215952635,-19.70446396,4.562864304,-40.20556259,2.787715912,43.76185608,2.6365273,18.69806099,2.129561663,9.019974047,1.16674317,1.776135155,0.3035927058,0.4959410856,0.1256946434,0.04554732917,0.01243137654,0.05436133668,0.008701831047,0.02537984358,0.004452164032,-2.649038553,1.5480299,-5.86950016,0.9853613973,-2.802632093,1.922322392,6.248268604,2.133341074,8.954834938,0.7585344315,8.091227531,2.628123999,4.574038506,2.396783829,0.6586666107,1.336933613,4.926316261,2.451874733,3.787500858,2.769668102,8.016499519,0.5362734199,5.85228014,3.304247141,6.736922741,1.691447377,4.056499958,1.405346632,7.412806511,1.595224738,2.296743393,0.1846969426,1.710850954,0.1902610362,1.606862664,0.2365627736,404.2930603,9.281634331,382.3063354,5.553861618,383.3509827,5.661074638,-13.25,0.7507058382,-13.35000038,0.7089021802,-10.4333334,1.99462533
5,2016-02-23/02:13:40,2016-02-23/02:33:40,2016-02-23/02:53:40,2016-02-23/03:13:40,,0,Dawnside,1,2016-02-23/02:43:40,2016-02-23/02:43:40,,4.891029319,-8.879452164,-0.8712048435,-7.509388392,-4.817961479,10.17476501,7.528524327,15.82595976,-5.496401787,10.16300583,-2.18576026,1.699507356,-19.72941971,24.60116959,-52.18588638,1.239485025,2.593563795,9.428958893,18.63834381,1.511931539,9.556647873,5.795134552,0.7831004055,0.2474785877,0.390341718,0.2694255974,0.01229774098,0.006379875454,0.039781802,0.01139353166,0.01503120061,3.72E-03,4.126167774,0.4001613557,3.804166317,0.2676912844,3.84116745,0.4834834337,-0.5923332572,0.6547877789,-1.853000164,0.9112745523,-1.99150002,0.5665560961,-0.3771666884,1.052907228,-0.8538333178,0.6527232528,-0.03216667473,0.5708871484,-0.3376666903,0.6075997353,-1.184500098,0.9074222445,-1.696166754,0.6478310227,-0.6103332639,1.084271073,-1.664666533,0.648344636,-1.043833256,0.4755802751,1.726226568,0.1041675061,1.845740676,0.08027315885,1.852857232,0.09589226544,352.1112671,3.884719372,354.3796692,3.771461248,354.3964539,2.458004475,-4.933333397,1.162503004,-1.283333302,0.5848848224,-0.3166666627,1.241809607
6,2016-02-23/19:53:30,2016-02-23/20:13:30,2016-02-23/19:13:30,2016-02-23/19:33:30,,0,Dawnside,0,2016-02-23/19:43:30,2016-02-23/19:43:30,(maybe revisit - there is some BL),1.660908774,-11.69917877,-1.215508636,-9.811841089,-6.486603079,11.87884098,6.537650554,17.04822926,-16.77795982,10.31692982,-19.7638855,3.546934843,-25.43899155,6.283015728,-34.8481636,2.766314983,4.101661682,11.93114853,6.624969482,2.771119595,14.19897531,2.974724777,1.986593085,1.013067201,0.5406024072,0.2092764915,0.05036781167,0.03267686821,0.0375098961,0.01058032107,0.02473418469,0.006322007679,0.3851787746,2.739660263,3.707636595,0.5357893109,2.780000448,0.5775547624,-4.430535793,0.7422237992,-3.635091066,0.5530784726,-4.310999393,0.2611493468,-1.446428657,1.353675723,0.6210909486,0.8165344596,-0.1433333457,1.002802491,-3.306070566,0.948954761,-3.578001261,0.3883650601,-3.952500105,0.2667228878,-3.264464855,1.269095659,-0.9234543443,0.87107265,-1.732500196,0.9946749806,2.151750088,0.2923282981,2.023488045,0.09367834777,1.90921545,0.07797032595,358.8149719,9.650598526,362.0116577,2.543453932,369.5253906,2.993582964,-2.183333397,0.8923718333,-1.716666698,0.6131792665,0.3333333433,0.6288720369
7,2016-03-14/18:23:00,2016-03-14/18:43:00,2016-03-14/16:52,2016-03-14/17:12,,1,Dawnside,0,2016-03-14/18:13:00,2016-03-14/17:22,,-1.667221535,-11.79490108,-1.21805823,-10.02674646,-6.329906233,11.97426345,5.663816973,16.92577539,19.52505684,9.16640377,-20.18419456,1.296977043,-13.32303619,7.661887646,-31.04631424,1.59510684,43.16950226,12.70460987,6.627466679,1.850616574,31.09111211,7.715016201,1.773988778,0.2092086533,2.398643133,0.7777950347,0.06092213455,0.011093241,0.07801126465,0.01828085064,0.03418870134,3.44E-03,-5.448196888,1.283695817,-4.241666794,0.817595005,-4.687893867,0.1745682061,7.359180927,3.261433363,3.633666515,0.6898390651,4.043859959,0.5491576791,2.731147528,1.978137136,0.989333272,1.128435135,0.9577194452,0.7957656384,5.467867851,2.628667116,2.960833788,0.6246932745,3.467894793,0.4654059112,5.630164623,2.766637087,2.314500093,1.191339374,2.289649248,0.8460199833,9.018927574,3.76500845,3.519199848,0.1699200273,3.410974979,0.1675232202,390.7552795,16.02464867,367.0259705,1.684844494,369.5267639,1.772007585,19.50819588,7.327170849,-1.737704873,0.6298581362,-0.2786885202,0.4520747066
8,2017-05-01/16:13:00,2017-05-01/16:33:00,2017-05-01/18:02:45,2017-05-01/18:22:45,,1,Dawnside,1,2017-05-01/16:43:00,2017-05-01/17:52:45,difficult to identify boundary,-1.428583162,-14.921285,4.388887275,-15.54904085,-0.366614609,15.61883246,5.719778071,15.65713833,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,4.024012086,1.700144688,2.458644954,0.3254077217,0.150221185,0.08823449785,0.08755452843,0.01628267755,0.03536782237,0.008517224541,0.03559611989,0.004689389513,-2.927235791,0,-3.651765108,0.4180047512,-2.749655724,0.975348711,4.312276511,0,2.49000001,0.5444377661,3.137586117,1.188353181,-0.1430894921,0,2.855294228,0.4465299249,1.769310236,2.138520479,4.249837261,0,1.791176677,0.5908562541,2.707413435,1.583606124,1.168943114,0,3.33823514,0.3817432821,2.343448877,1.906150103,1.510952399,0,1.75352931,0.06294255704,1.766738892,0.1163339093,377.1111111,0,374.1000061,3.807718992,380.1369324,7.029193878,10.21311474,1.253192782,10.72131157,0.8191692829,10.55737686,0.5008189678
9,2017-05-17/11:17:30,2017-05-17/11:37:30,2017-05-17/10:20:20,2017-05-17/10:40:20,,0,Dawnside,0,2017-05-17/11:07:30,2017-05-17/10:50:20,,-16.38358713,-18.4115171,4.550698199,-18.63968643,3.500700783,25.06221744,3.22148572,25.24742811,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,4.039206828,0.3383599355,0.2605187842,0.07619372099,0.1636903987,0.04158157291,0.006718596341,0.00241676966,0.04018491966,0.008294135719,0.02610060875,0.008172030716,1.218833208,0.5057972074,1.449166656,0.9030297995,2.192692041,0.8363554478,-1.38100028,0.6658236384,-0.5741666555,0.9828109145,-1.61326921,1.261363626,-3.082000017,0.5368293524,-4.363333225,0.5329563022,-2.448653936,1.444231272,-1.206499815,0.6843004823,-0.3108333647,0.9698965549,-1.383461475,1.316613078,-3.153499842,0.5174344778,-4.388333321,0.5546142459,-2.576346159,1.409619689,1.955000281,0.281921953,1.615454435,0.06470915675,1.712272644,0.3312896788,474.2233276,5.436644077,482.2999878,3.921732664,501.3363342,5.027835846,-6.75,1.569033027,-10.66666698,3.671542645,-10.05000019,1.489226818
10,2017-05-17/20:08:40,2017-05-17/20:28:40,2017-05-17/17:21:20,2017-05-17/17:41:20,,1,Dawnside,0,2017-05-17/19:58:40,2017-05-17/17:51:20,,-14.02229605,-18.986045,5.125372697,-19.55882976,-2.04732112,24.15293228,3.934997252,27.04550369,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,3.033125144,1.204584515,0.4647259133,0.05693975933,0.08396547105,0.04473695794,0.009142186638,0.00322605162,0.02618053085,0.006576775258,0.01947870465,0.006088747084,2.253833294,0.7230399847,2.697000265,0.6418572068,2.972832918,0.2537454665,1.204666615,0.7746217251,0.6984999776,0.6156677604,0.4058333039,0.3323939443,-1.364666581,0.9953305721,-0.7661665678,0.9509034157,-0.9756667018,0.4433974028,1.601166844,0.4692695141,0.9086668491,0.7364285588,0.6460000277,0.3397766352,-0.8621666431,1.173316479,-0.5153333545,0.8520015478,-0.8329998255,0.4440426826,2.712306976,0.255086422,2.35000062,0.1162043288,2.143448353,0.1176756248,455.9768982,2.643869162,463.5152283,3.352653027,471.1069641,1.137535095,0.349999994,1.783398032,-0.3833333254,1.50807631,-1.583333373,0.8293691874
11,2017-05-18/04:31:00,2017-05-18/04:51:00,2017-05-18/05:30:30,2017-05-18/05:50:30,,0,Dawnside,1,2017-05-18/05:01:00,2017-05-18/05:20:30,,-9.975542616,-17.38624946,5.105358784,-18.08056129,1.199859149,20.68472405,4.065114582,20.6767517,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,8.346647663,0.7371304042,0.4765028067,0.238122524,0.383101415,0.07986807287,0.01590690926,0.006084701035,0.04573644608,0.007635405436,0.03484769833,0.00700156281,-0.3656665981,1.318669558,1.668447971,0.7458981276,0.8983606696,0.8360127211,-0.8585000634,2.95382309,-0.2462068647,1.763588786,4.57606554,0.6363051534,-4.983332634,1.332872033,-5.158964634,0.2791760862,-3.282130957,1.002109528,0.3609998822,3.066817045,1.214310408,1.74140811,5.375408649,0.3390013576,-5.03399992,1.095658898,-5.014482021,0.4642752707,-1.644426107,1.189670205,3.269107342,0.4680104256,3.454864979,0.2563376725,3.534221649,0.1179076657,436.3035583,5.56531477,432.9162598,1.963491201,437.3577576,1.48912549,-22.73770523,4.603989601,-5.606557369,4.70559454,1.032786846,3.468752146
